ninguno	codigo	ut	at	ut_codigo	at_codigo	at_ut	at_ut_codigo	tag
0.1875	0.20833333333333334	0.041666666666666664	0.08333333333333333	0.375	0.041666666666666664	0.0	0.0625	20090214
0.4177215189873418	0.20253164556962025	0.05063291139240506	0.0	0.27848101265822783	0.012658227848101266	0.0	0.0379746835443038	20090321
0.48	0.14	0.03	0.02	0.22	0.02	0.0	0.09	20090513
0.4207920792079208	0.15841584158415842	0.04455445544554455	0.019801980198019802	0.24257425742574257	0.034653465346534656	0.0	0.07920792079207921	20090818
0.3783783783783784	0.22972972972972974	0.0	0.0	0.32432432432432434	0.013513513513513514	0.0	0.05405405405405406	20091121
0.4772727272727273	0.19318181818181818	0.011363636363636364	0.045454545454545456	0.2159090909090909	0.045454545454545456	0.0	0.011363636363636364	20100103
0.3918918918918919	0.24324324324324326	0.06756756756756757	0.013513513513513514	0.21621621621621623	0.04054054054054054	0.0	0.02702702702702703	20100303
0.43333333333333335	0.18888888888888888	0.06666666666666667	0.022222222222222223	0.26666666666666666	0.011111111111111112	0.0	0.011111111111111112	20101101
0.19083969465648856	0.15267175572519084	0.015267175572519083	0.022900763358778626	0.5725190839694656	0.007633587786259542	0.0	0.03816793893129771	20110104
0.453781512605042	0.226890756302521	0.01680672268907563	0.008403361344537815	0.24369747899159663	0.008403361344537815	0.0	0.04201680672268908	20111025
0.5568326947637292	0.21839080459770116	0.02937420178799489	0.020434227330779056	0.14303959131545338	0.01532567049808429	0.0	0.016602809706257982	20121220
0.4	0.29183673469387755	0.05714285714285714	0.022448979591836733	0.19795918367346937	0.006122448979591836	0.0020408163265306124	0.022448979591836733	20130530
