commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_agregados	acceptance_tests_modificados	acceptance_tests_eliminados	unit_tests_agregados	unit_tests_modificados	unit_tests_eliminados	codigo_agregados	codigo_modificados	codigo_eliminados	otro_agregados	otro_modificados	otro_eliminados
1560a775d4f0d05c0574f57d9907ffe9bdb25e37	"2009-01-13 17:08:35 -0600"	1231888115	0	0	0	0	1	0	0	2	0	0	2	0
21755ff377b70584eaf5fdef5e6593e23deeeedf	"2009-01-14 09:31:53 -0600"	1231947113	0	0	0	0	1	0	0	1	0	0	0	0
aaacb988bf115137003bc66e940c23879ece53ee	"2009-01-14 09:37:16 -0600"	1231947436	0	0	0	0	1	0	0	1	0	0	0	0
37b12a06530c5ecc5dc74053d70d8a0192d4bfb1	"2009-01-14 11:40:15 -0600"	1231954815	0	1	0	0	0	0	0	0	0	0	1	0
c8be5d6ac6431b673d3f72883f4af1b7ded6f352	"2009-01-15 09:59:31 -0600"	1232035171	0	0	0	0	1	0	0	1	0	0	0	0
1cdb67894e54e29740be247cb9c674fb3b3bda4a	"2009-01-15 12:40:06 -0600"	1232044806	0	0	0	0	0	0	1	1	0	3	4	76
8fc702e784371b55b8ec91def24f0e2d87fa055a	"2009-01-15 14:44:16 -0600"	1232052256	0	0	0	0	0	0	0	2	0	4	9	1
69b856c27dfe9974897bc167d6cd100984e58625	"2009-01-15 17:48:37 -0600"	1232063317	0	0	0	0	1	0	0	2	0	0	5	1
70605b94edb4913e1830ab6e4edead9a13394a8d	"2009-01-15 20:13:05 -0600"	1232071985	0	0	0	0	1	0	0	0	0	0	0	0
2ba5beca4758a0a84c113f6dac486da700e58dd6	"2009-01-16 14:15:18 -0600"	1232136918	0	0	0	0	1	0	0	3	0	0	9	0
e556357c4187d1431bd80a3a8870d1d4c9975051	"2009-01-16 14:32:46 -0600"	1232137966	0	1	0	0	0	0	0	1	0	0	5	0
d3ef2ed4f0b0efbb279c7c95113667afd9386ed0	"2009-01-19 12:33:13 -0600"	1232389993	0	0	0	0	1	0	0	6	0	0	4	0
b19f4ef9e216a81a5f7c080d3a8169f1274833d5	"2009-01-20 11:40:18 -0600"	1232473218	1	1	0	0	2	0	0	2	0	1	5	0
