commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_modificados	unit_tests_modificados	codigo_modificados	otro_modificados
d6585acb66fee410bc26d3a7e3bcdbf48c2e154b	"2012-12-25 17:49:14 +0200"	1356450554	0	0	0	1
b1078fbb4521d3955066c43a50cfc66e90268d9e	"2012-12-26 00:48:52 +0200"	1356475732	0	0	0	1
d4b334754f59fb8309ebd901a7a34cea98a7facf	"2012-12-26 01:22:01 +0200"	1356477721	0	0	0	1
98745ee09c1ac884a8df761136ad06290075bfa8	"2012-12-26 20:33:05 +0200"	1356546785	4	0	1	2
9eb656f77793f245d7f04a3d97b3f1c290ec1046	"2012-12-26 20:45:10 +0200"	1356547510	0	1	2	1
d9102362f210ab3616c7367f13ffed58a69c7992	"2012-12-26 21:15:43 +0200"	1356549343	1	1	1	1
0d1d59e9fe9b638c080d606257da148929dc486d	"2012-12-26 22:33:38 +0200"	1356554018	0	1	2	0
0f069bccb01620ac29a7712a16c3189b054550cc	"2012-12-28 22:31:20 +0200"	1356726680	0	1	2	1
4aa44f038d953bf6fd619bb1f43c0c8af52bb5ea	"2012-12-28 23:01:47 +0200"	1356728507	1	1	3	1
5cfee0ba409457c79eee49789c7c3f874769cdcc	"2012-12-28 23:18:27 +0200"	1356729507	0	1	1	2
2ceba8943ccdd9c1d69fa1bb181c88ebdf3ed5c4	"2012-12-28 23:36:39 +0200"	1356730599	1	0	1	1
f5861adc1a9207cb429c058d9393015ce6e8bccb	"2012-12-28 23:38:28 +0200"	1356730708	0	0	0	8
6ed80e5d8efa2019c1e040bb0c613ae11deb4a23	"2012-12-29 02:55:02 +0200"	1356742502	0	0	0	1
c9d8fbd863529363f3d71170923e3b696ca801ff	"2012-12-29 16:18:12 +0200"	1356790692	3	0	0	4
8b29a9e94f1b871f0f970a1729f10e5502deb9bd	"2012-12-29 16:55:56 +0200"	1356792956	0	0	0	4
6ab37493371925116603270fff2087be74b6f6ba	"2012-12-29 17:06:04 +0200"	1356793564	1	2	10	3
56a4f13fb68de764b15f310742c2a640fe96475a	"2012-12-29 17:15:13 +0200"	1356794113	0	0	0	1
1a67e052d9f81ad1f57ee7b6b0f6adbcd8aacbbc	"2012-12-29 18:08:09 +0200"	1356797289	1	2	4	1
c186c0c1edd7dfa5c31085d802291c588521040f	"2012-12-29 18:24:29 +0200"	1356798269	0	1	0	1
b0b4e9e5c706b8cd39d3bfce1156790574b13d75	"2012-12-29 18:45:02 +0200"	1356799502	0	2	2	1
e2dc25bde0b0fdad13cf2416528a392a15394a56	"2012-12-29 19:04:35 +0200"	1356800675	0	1	2	2
2220c2d191dcfcedc9e9eb531b309239d0237b43	"2012-12-29 19:06:08 +0200"	1356800768	0	0	0	2
729608d767b93d649927fd18154da222c8db0afd	"2012-12-29 19:46:52 +0200"	1356803212	0	2	5	1
9a54814bb5b9acbcbe6d02d2690984a3604b0764	"2012-12-29 19:55:41 +0200"	1356803741	0	1	0	1
c44261951d5f4c1b8e03006b12448d8b8e0766f6	"2012-12-29 20:18:28 +0200"	1356805108	0	0	7	1
a71e8ee3399938c39eb1d8214efcd3c09113ba70	"2012-12-29 20:26:56 +0200"	1356805616	0	0	5	2
80cbeef3a2c9f9d09316d0c1e9f14fec655a7c97	"2012-12-29 23:22:33 +0200"	1356816153	0	0	0	1
efdef5024606f03adea207a6c31cb0a0611d2070	"2012-12-30 22:20:13 +0200"	1356898813	0	0	0	1
c517b7f95fc411956f305bf230bda1aca5b6b142	"2013-01-01 17:18:06 +0200"	1357053486	3	0	0	1
11bb24eae6a83879e55a08e57dcc16de55be1dd4	"2013-01-01 17:28:25 +0200"	1357054105	0	1	2	1
49db7b0e4d0d972070f8213cefdc8d51b4106368	"2013-01-01 17:35:16 +0200"	1357054516	2	0	1	2
e8e395f2463fcb217614fc4c9d4d8b25a81fbed6	"2013-01-01 17:48:28 +0200"	1357055308	0	0	2	1
8a41fcd5701b5d6bb99d3b59f17d0631dd8269a4	"2013-01-01 18:07:19 +0200"	1357056439	0	1	2	1
c29fb7e35cecbe7e6e034466ae11f0645e009274	"2013-01-01 18:27:49 +0200"	1357057669	1	1	4	2
3f16ac9b73ab72d4cb97e21b53387bd2dfd1dd5a	"2013-01-01 18:38:52 +0200"	1357058332	1	5	21	4
c1afc4499b8aac0cef614d12607999aeebcfd621	"2013-01-02 23:11:45 +0200"	1357161105	0	0	0	1
f8a248e76fc2ec316bba6fcc773447871cdb8e88	"2013-01-02 23:20:20 +0200"	1357161620	0	0	0	1
6e25d88c243dd5238267b99b22feccf3b22b97cc	"2013-01-06 21:37:16 +0200"	1357501036	0	1	4	1
52ad07784aca4b0b357fc1255ba9e7f691c608fb	"2013-01-06 22:23:52 +0200"	1357503832	0	1	7	1
3b5de164fb8273a6ce5424c62bdb2e0d455953b6	"2013-01-06 23:09:10 +0200"	1357506550	1	0	0	0
d707f4bbb2f0645abba99b12feb5321f3e279cb5	"2013-01-07 00:42:55 +0200"	1357512175	0	4	13	2
f135f79a5f881b8e38137016da949d39a28460b9	"2013-01-07 00:43:32 +0200"	1357512212	0	2	7	2
95521dff5482801d0b4bd301e90bcb81f8e697f9	"2013-01-07 01:06:50 +0200"	1357513610	0	0	0	2
3e6e05098870bc7ec129271ba9247d081acf6365	"2013-01-07 01:09:03 +0200"	1357513743	0	0	0	1
