commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_modificados	unit_tests_modificados	codigo_modificados	otro_modificados
c4cda43f1ec541729e4dc87d20ef2fd791698f4d	"2012-07-07 18:00:19 +0300"	1341673219	0	0	0	1
861a78f65fb6d6088b438cf58b2c736afe947056	"2012-07-07 18:08:55 +0300"	1341673735	0	0	0	1
b2f2abc37219cd160a2c1e18da2a24ec151ca911	"2012-07-07 20:15:55 +0300"	1341681355	0	0	0	1
2b1c03268caabc09e5905cd6741eacc6cb5cc785	"2012-07-07 22:03:36 +0300"	1341687816	0	0	0	1
e2085dd421f1e5531791d3201d2cb16260715341	"2012-07-07 22:19:13 +0300"	1341688753	1	0	0	1
b3d1f32cb786050539652e4a16bc82518f892af2	"2012-07-07 23:55:43 +0300"	1341694543	0	0	0	3
9987a175a79331247c5b2e443aeb2784bd3d63b5	"2012-07-08 00:35:44 +0300"	1341696944	0	0	1	0
74e838ec6cb062f7df7d894885288df84748246c	"2012-07-08 20:50:43 +0300"	1341769843	0	0	0	1
c73967100eefe3ce549aae89b90e4e382f6d06fb	"2012-07-09 00:47:16 +0300"	1341784036	0	0	1	3
4011d282d66a1a3ec3f5b21fb94bcab61da64bff	"2012-07-09 01:01:09 +0300"	1341784869	0	0	0	1
f449ed6e4c21ce1f993ee1c1a4e3b60f269ac373	"2012-07-09 01:28:48 +0300"	1341786528	0	0	0	0
5f07cd7d0094c584ab1e11955bd297284114cf43	"2012-07-09 02:09:54 +0300"	1341788994	0	0	0	1
bcbd16be571ee3f7d1fd4651d38b02f1094c448d	"2012-07-09 23:24:11 +0300"	1341865451	0	0	1	2
4c8e88eed667a0f43385e81407b9290e2ba1e8f0	"2012-07-09 23:33:40 +0300"	1341866020	0	0	0	1
ada92cc94a8e3315b46d29d46418725c52e24886	"2012-07-10 01:01:22 +0300"	1341871282	0	0	0	19
79c3dc5d758f7ce645e5f87e50df61b1d0b737c2	"2012-07-10 01:26:55 +0300"	1341872815	0	0	0	5
65191629ba87b5698390b5ee540bf45a99c973dc	"2012-07-10 01:30:41 +0300"	1341873041	0	0	0	10
9472de94bacffe13e1307f8bff1e5c5b885097d2	"2012-07-10 01:33:53 +0300"	1341873233	0	0	0	1
bf56a315078c4d5b6308b037baa4cfdc5dcad1b5	"2012-07-10 02:08:35 +0300"	1341875315	0	0	0	4
3f422b89f5d1944e6a4b6c425587a7d6c9a6f40a	"2012-07-10 02:09:00 +0300"	1341875340	0	0	0	1
067350633b748ab5a44e76dc84f6d0ae1a1a29c6	"2012-07-10 16:48:21 +0300"	1341928101	0	0	0	1
705286774f88b981d5c8d592c67cf4755d11e03f	"2012-07-10 16:48:24 +0300"	1341928104	1	0	1	0
df1abef523575f8499c6297b76e3fccb1ba05379	"2012-07-10 17:20:14 +0300"	1341930014	1	0	1	1
372fe4558a62a28a11631679a32e8c3c79cc1d39	"2012-07-10 17:35:42 +0300"	1341930942	0	0	3	1
df176c073d5f110df8938fa99ec1c16e2ac5923a	"2012-07-10 17:52:02 +0300"	1341931922	1	1	1	1
2d2d1eb5285b6fbe91088f63cf371be05e67f4f3	"2012-07-10 18:31:19 +0300"	1341934279	0	1	3	1
eaee8df77291361159b9fb9c6c256d5ba0815a02	"2012-07-10 18:36:05 +0300"	1341934565	0	1	0	0
6ef10ee987beefef1d374064877b00a63e3fe340	"2012-07-10 19:13:20 +0300"	1341936800	1	2	3	1
5cad500c223ed5760634cb8ea956d47396e246a3	"2012-07-10 19:25:58 +0300"	1341937558	0	0	0	1
59aea4a05a21ceb7a29af766946a2df6773e00f9	"2012-07-10 22:09:04 +0300"	1341947344	1	1	1	0
259a520789d42a73ba7ae0bff6f4c4904118972d	"2012-07-10 22:28:23 +0300"	1341948503	0	0	0	1
1737e622f8e7b8d206399c677274761a97b7a67d	"2012-07-10 23:18:25 +0300"	1341951505	0	0	0	1
f68d7ce0fceed2c1c5fb7ae97aca452c913470ce	"2012-07-11 15:47:22 +0300"	1342010842	0	0	0	2
4d863d6e3dfa26d61f005a73c88a120f47a51ff3	"2012-07-11 15:47:24 +0300"	1342010844	0	0	0	1
c06b2e24198c6c337e5e8ec2a92730f904390845	"2012-07-12 00:31:21 +0300"	1342042281	0	0	0	1
02f3e7f6e40dc3b55a0b288e01ee69fbf6190d34	"2012-07-12 00:31:24 +0300"	1342042284	0	0	0	0
5459f8afa2edb90778bcadac7f138553c296c93a	"2012-07-12 00:47:10 +0300"	1342043230	0	0	0	2
ae7220f18b3d176fd282d87c9ad6331e4901375f	"2012-07-12 01:05:09 +0300"	1342044309	0	0	0	1
06f48f4d5a94b7758e718e208ff393669e8b1bc9	"2012-07-12 01:16:29 +0300"	1342044989	0	0	0	1
8231a47dfecbeac11d572c16d7f2a3d94b21287a	"2012-07-12 01:51:54 +0300"	1342047114	0	0	0	0
db6b5ccdf24ea56836ff2c7a53d1aa22d97ff0a0	"2012-07-12 01:57:00 +0300"	1342047420	0	0	0	1
30c588709247e1e64912c824c70fec5138055bc0	"2012-07-12 02:28:02 +0300"	1342049282	0	0	0	1
6589cbf9d74eb05a2574ea96d8375991995f8c7f	"2012-07-12 02:28:04 +0300"	1342049284	0	0	0	4
30e581fd7305b1439582b92c15b7354e8593dedb	"2012-07-12 02:42:20 +0300"	1342050140	0	0	0	1
c8cecd3ec88565ecd35e9f9623031ff64825ede5	"2012-07-12 03:01:13 +0300"	1342051273	0	0	0	1
0027d0a6df71b6663581ffc3b0f3f11510fef3c4	"2012-07-12 14:57:51 +0300"	1342094271	0	0	0	0
c8dd30e8f130d082029e81f1558dbc8f9d93e06a	"2012-07-12 15:06:16 +0300"	1342094776	0	0	0	2
73a32e8d68cb0ba26b81a390a2f67128f5cae1fa	"2012-07-12 17:46:36 +0300"	1342104396	0	0	0	1
9c6494add2ae66aa4abeca2133b930a7dab39c68	"2012-07-13 02:36:09 +0300"	1342136169	0	0	0	3
d0f652e4e762255b2c6d3b0d2d8d24e7f345eac4	"2012-07-13 03:01:45 +0300"	1342137705	0	0	0	1
373b4f061d75576e786c74c28349178545693373	"2012-07-13 03:05:56 +0300"	1342137956	0	0	0	1
3636abdf5daac4391dce0af5d681c9670531bf3b	"2012-07-13 03:26:59 +0300"	1342139219	0	0	0	1
87ba48214ac113a0a7333659b7cab7060a8d59db	"2012-07-13 03:27:42 +0300"	1342139262	0	0	0	7
db3833932a018d0931b874925d9c1a420b96979f	"2012-07-14 02:40:25 +0300"	1342222825	0	0	0	1
17b68c4dacee88cf64b915813b822dbc89af49e7	"2012-07-14 02:40:36 +0300"	1342222836	0	0	0	1
009e4fe0009a47fcaf8e92c88e1dd9c5b045aa76	"2012-07-14 02:42:14 +0300"	1342222934	0	0	0	2
08a0290018bfaaa8247e7c31aa74afac8dec0781	"2012-07-15 22:26:50 +0300"	1342380410	0	0	0	1
e26ddb3cf2922666e588f5617e70797e13beff8c	"2012-07-15 22:45:57 +0300"	1342381557	0	0	0	1
cb18ce2ef4b19faa4aaa2d7131fb5735f4cd017d	"2012-07-16 00:15:08 +0300"	1342386908	0	0	0	1
48663377d6a96490fbe369c9d3b036e22157b8b5	"2012-07-16 14:17:57 +0300"	1342437477	0	0	0	1
5e78839af7b1b4efa81f660a94e46084e7da93e5	"2012-07-16 20:38:53 +0300"	1342460333	0	0	0	1
4827c8892d1e09908741fb3224ab0a97aede8319	"2012-07-16 20:53:40 +0300"	1342461220	1	1	1	1
248b0a9535a545804449c8fe74427e54e83465ee	"2012-07-16 20:59:58 +0300"	1342461598	1	0	0	1
8cb3123c6375d046e1e8cb2acb02f7eedef3a072	"2012-07-16 21:35:16 +0300"	1342463716	1	0	1	1
469217627d65a1b752d09a98cb3141521896a5d8	"2012-07-17 16:39:53 +0300"	1342532393	1	1	3	1
6d4a4a78465657409521c2bb595aba9127c177f8	"2012-07-17 16:43:55 +0300"	1342532635	1	0	1	0
efc1865d567b44ab3ce51dba9b25193befa69bf5	"2012-07-17 21:59:06 +0300"	1342551546	1	1	1	2
4fba39a5c054cebcb4532b03fcf5e0d19e9a35ea	"2012-07-18 15:11:25 +0300"	1342613485	0	0	0	3
71a8b7afcdf3adcd027bc621959c2b442a23942a	"2012-07-18 15:23:22 +0300"	1342614202	0	0	0	3
ed70ff956bfe8f63e92e2773021b2dbbc3bc9ad6	"2012-07-18 15:35:13 +0300"	1342614913	0	0	0	1
99af31540e504f0712dda0bee84e3f7b1984cd03	"2012-07-19 01:49:09 +0300"	1342651749	0	0	0	4
32700e062490346866127a7d0970f6c156c50aa4	"2012-07-19 02:47:12 +0300"	1342655232	0	0	1	3
