commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_agregados	acceptance_tests_modificados	acceptance_tests_eliminados	unit_tests_agregados	unit_tests_modificados	unit_tests_eliminados	codigo_agregados	codigo_modificados	codigo_eliminados	otro_agregados	otro_modificados	otro_eliminados
051fe452b7a30d3c873d76de25ef37fc1baabb90	"2012-12-24 21:41:00 +0200"	1356378060	0	0	0	0	0	0	0	0	0	0	1	0
93182c5491e17ff3f8a18fba266161d1313a1960	"2012-12-24 22:18:30 +0200"	1356380310	0	0	0	0	0	0	0	0	0	0	1	0
0263c6640d3ecea51e1391710acd0d5b1d943c54	"2012-12-25 01:33:31 +0200"	1356392011	0	0	0	0	0	0	0	0	0	0	1	0
fe49e5bdff209116e86c7b43230a018d399f4168	"2012-12-25 15:14:24 +0200"	1356441264	0	0	0	0	0	0	0	0	0	0	1	0
166b5e4031982181e10483ef7ffc8bfadc4fddca	"2012-12-25 17:13:17 +0200"	1356448397	0	0	0	0	0	0	0	0	0	0	1	0
42d84dab7e7deba17db9a4d63ffaf7f2416fe1bf	"2012-12-25 17:18:02 +0200"	1356448682	0	0	0	0	0	0	0	1	0	0	1	0
7767db5a0b64f1e76d3127016462ce27ba50297c	"2012-12-25 17:26:28 +0200"	1356449188	0	0	0	0	1	0	0	1	0	0	1	0
cf43595a8ac5c4d3418bf76658a9d0027e7aed51	"2012-12-25 17:44:02 +0200"	1356450242	0	1	0	0	0	0	0	1	0	0	2	0
7c7971c10215063629f46a8a91e429b7e275bb2b	"2012-12-25 17:46:53 +0200"	1356450413	0	0	0	0	0	0	0	0	0	0	1	0
