commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_modificados	unit_tests_modificados	codigo_modificados	otro_modificados
c4cda43f1ec541729e4dc87d20ef2fd791698f4d	"2012-07-07 18:00:19 +0300"	1341673219	0	0	0	1
861a78f65fb6d6088b438cf58b2c736afe947056	"2012-07-07 18:08:55 +0300"	1341673735	0	0	0	1
b2f2abc37219cd160a2c1e18da2a24ec151ca911	"2012-07-07 20:15:55 +0300"	1341681355	0	0	0	1
2b1c03268caabc09e5905cd6741eacc6cb5cc785	"2012-07-07 22:03:36 +0300"	1341687816	0	0	0	1
e2085dd421f1e5531791d3201d2cb16260715341	"2012-07-07 22:19:13 +0300"	1341688753	1	0	0	1
b3d1f32cb786050539652e4a16bc82518f892af2	"2012-07-07 23:55:43 +0300"	1341694543	0	0	0	3
9987a175a79331247c5b2e443aeb2784bd3d63b5	"2012-07-08 00:35:44 +0300"	1341696944	0	0	1	0
74e838ec6cb062f7df7d894885288df84748246c	"2012-07-08 20:50:43 +0300"	1341769843	0	0	0	1
c73967100eefe3ce549aae89b90e4e382f6d06fb	"2012-07-09 00:47:16 +0300"	1341784036	0	0	1	3
4011d282d66a1a3ec3f5b21fb94bcab61da64bff	"2012-07-09 01:01:09 +0300"	1341784869	0	0	0	1
f449ed6e4c21ce1f993ee1c1a4e3b60f269ac373	"2012-07-09 01:28:48 +0300"	1341786528	0	0	0	0
5f07cd7d0094c584ab1e11955bd297284114cf43	"2012-07-09 02:09:54 +0300"	1341788994	0	0	0	1
bcbd16be571ee3f7d1fd4651d38b02f1094c448d	"2012-07-09 23:24:11 +0300"	1341865451	0	0	1	2
4c8e88eed667a0f43385e81407b9290e2ba1e8f0	"2012-07-09 23:33:40 +0300"	1341866020	0	0	0	1
ada92cc94a8e3315b46d29d46418725c52e24886	"2012-07-10 01:01:22 +0300"	1341871282	0	0	0	19
79c3dc5d758f7ce645e5f87e50df61b1d0b737c2	"2012-07-10 01:26:55 +0300"	1341872815	0	0	0	5
65191629ba87b5698390b5ee540bf45a99c973dc	"2012-07-10 01:30:41 +0300"	1341873041	0	0	0	10
9472de94bacffe13e1307f8bff1e5c5b885097d2	"2012-07-10 01:33:53 +0300"	1341873233	0	0	0	1
bf56a315078c4d5b6308b037baa4cfdc5dcad1b5	"2012-07-10 02:08:35 +0300"	1341875315	0	0	0	4
3f422b89f5d1944e6a4b6c425587a7d6c9a6f40a	"2012-07-10 02:09:00 +0300"	1341875340	0	0	0	1
067350633b748ab5a44e76dc84f6d0ae1a1a29c6	"2012-07-10 16:48:21 +0300"	1341928101	0	0	0	1
705286774f88b981d5c8d592c67cf4755d11e03f	"2012-07-10 16:48:24 +0300"	1341928104	1	0	1	0
df1abef523575f8499c6297b76e3fccb1ba05379	"2012-07-10 17:20:14 +0300"	1341930014	1	0	1	1
372fe4558a62a28a11631679a32e8c3c79cc1d39	"2012-07-10 17:35:42 +0300"	1341930942	0	0	3	1
df176c073d5f110df8938fa99ec1c16e2ac5923a	"2012-07-10 17:52:02 +0300"	1341931922	1	1	1	1
2d2d1eb5285b6fbe91088f63cf371be05e67f4f3	"2012-07-10 18:31:19 +0300"	1341934279	0	1	3	1
eaee8df77291361159b9fb9c6c256d5ba0815a02	"2012-07-10 18:36:05 +0300"	1341934565	0	1	0	0
6ef10ee987beefef1d374064877b00a63e3fe340	"2012-07-10 19:13:20 +0300"	1341936800	1	2	3	1
5cad500c223ed5760634cb8ea956d47396e246a3	"2012-07-10 19:25:58 +0300"	1341937558	0	0	0	1
59aea4a05a21ceb7a29af766946a2df6773e00f9	"2012-07-10 22:09:04 +0300"	1341947344	1	1	1	0
