ninguno	codigo	ut	at	ut_codigo	at_codigo	at_ut	at_ut_codigo	tag
23	5	0	4	4	1	0	1	v0.2.235
20	4	2	3	14	4	0	6	v0.3.257
43	18	8	11	32	6	1	14	v0.4.313
24	4	5	0	16	1	1	2	v0.4.345
16	7	3	1	12	0	0	1	v0.5.365
26	7	0	2	1	1	0	0	v0.5.390
