commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_agregados	acceptance_tests_modificados	acceptance_tests_eliminados	unit_tests_agregados	unit_tests_modificados	unit_tests_eliminados	codigo_agregados	codigo_modificados	codigo_eliminados	otro_agregados	otro_modificados	otro_eliminados
e62bff23bb68c6919d7459206651054989f67d6e	"2009-02-16 20:22:44 -0600"	1234837364	0	0	0	0	0	0	0	1	0	0	0	0
fa8a7c413111a8e56e677bc8cd90c8841c40ae2c	"2009-02-16 21:13:50 -0600"	1234840430	0	0	0	0	1	0	0	0	0	0	0	0
7a6c349721c39d575e3c42b6d9fbef9e0ba06229	"2009-02-17 15:16:06 -0600"	1234905366	0	0	0	0	0	0	0	1	0	0	5	0
f9d020b34a9d188af3f6be98a3fd460775367a52	"2009-02-18 13:41:36 -0600"	1234986096	0	0	0	0	1	0	0	1	0	0	2	0
60b279b7844338ce5ff83e9e823602871cb9ddb2	"2009-02-19 06:42:28 -0600"	1235047348	0	1	0	0	0	0	0	1	0	0	2	0
b7d9abbac99fb27e9f79c8cd9c3a4ed8820a7526	"2009-02-19 08:41:13 -0600"	1235054473	0	0	0	0	0	0	0	2	0	0	2	0
d3b0a7a0cb62a9b541975f9bfe4cbba56fde3e43	"2009-02-20 08:57:58 -0600"	1235141878	0	0	0	0	1	0	0	1	0	0	3	4
39a6f693f0cc6ea65d0b300317dba6cc28b470fe	"2009-02-20 08:58:12 -0600"	1235141892	0	0	0	0	0	0	0	1	0	0	2	0
16340f9888ca820048edbb0ac70601e2c16ca9e6	"2009-02-20 09:09:06 -0600"	1235142546	0	0	0	0	0	0	0	0	0	0	4	0
f9d3c050487096dc066f92bc445d1cdae117b01a	"2009-02-20 10:53:03 -0600"	1235148783	0	0	0	0	0	0	0	0	0	0	1	0
2537efdc30117d4c6ec5030cc5799dcca2f17c46	"2009-02-23 17:32:07 +1300"	1235363527	0	0	0	2	3	0	3	6	0	0	0	0
f650981e5a8d2772997cacf205694c5b78631836	"2009-02-23 22:35:09 +1300"	1235381709	0	0	0	0	3	0	0	5	0	0	0	0
674ed1f5dc69d20b0a8d3ef2b0d0cf167d00a70a	"2009-02-23 22:41:39 +1300"	1235382099	0	0	0	0	0	0	0	0	0	0	0	0
8a66ca189d64a422fc3aae3f71a4a2efb357caec	"2009-02-23 22:44:49 +1300"	1235382289	0	0	0	0	0	0	0	0	0	0	1	0
08ce36cef66f3e76e343f93e47fda7da066ffdb3	"2009-02-23 22:55:13 +1300"	1235382913	0	0	0	0	0	0	0	1	0	0	0	0
b317355fda35c6036b83e50fb67a952acb3f3b2b	"2009-02-23 22:57:34 +1300"	1235383054	0	0	0	0	0	0	0	1	0	0	0	0
0883ff418fda3192762c434b3d946da1ffd2fa73	"2009-02-23 23:03:45 +1300"	1235383425	0	0	0	0	0	0	0	3	0	0	0	0
b4759a5cb279038f4d00ead53eff81e60796e8a3	"2009-02-24 20:20:36 +1300"	1235460036	0	0	0	0	0	0	0	0	0	0	3	0
f530e4a5df145c4e809cfcd83e020e414804dd6d	"2009-02-24 20:27:03 +1300"	1235460423	0	0	0	0	0	0	0	0	0	0	3	0
d09e08c312dc8ec07204df17c066bf57552a2292	"2009-02-24 20:27:13 +1300"	1235460433	0	0	0	0	0	0	0	0	0	0	0	0
34b92a7f701ddd5843ce6759fda67733431090cd	"2009-02-24 08:30:45 -0600"	1235485845	0	0	0	0	0	0	0	0	0	0	1	0
1674a336df98234452686787876d998d537225f7	"2009-02-25 23:48:27 +1300"	1235558907	0	0	0	0	2	0	0	5	0	0	1	0
8790db1a52e0ebbaa86ba7f97f0332fb5636df4b	"2009-02-25 23:51:19 +1300"	1235559079	0	0	0	0	0	0	3	0	0	0	0	0
4d4ef6b4ea090e516afe084af4039e7733af68f6	"2009-02-25 10:21:23 -0600"	1235578883	0	0	0	0	0	0	0	0	0	8	2	0
8930c7cd53561f3cd29ade44372ec267feda64a2	"2009-02-25 10:24:37 -0600"	1235579077	0	0	0	0	0	0	0	1	0	2	1	0
1f421bda0702730748ef64885b22960ffbd3f27b	"2009-02-25 13:09:13 -0600"	1235588953	0	0	0	1	0	1	0	2	0	0	2	0
e793e23dbcafbd48019e85369b76397c0241f886	"2009-02-25 14:58:56 -0600"	1235595536	0	0	0	0	0	0	0	0	0	0	1	0
f8d6db20a948c4ea97516605e42487842f06e612	"2009-02-25 15:07:23 -0600"	1235596043	0	0	0	0	0	0	0	0	0	0	1	0
c8a5a2e4489f1296cbbd457712fbaa01725a3c1d	"2009-02-25 15:46:50 -0600"	1235598410	0	0	0	0	0	0	0	0	0	3	1	0
2bc8cfafcdcff9d8c629466f901f30439f3b3224	"2009-02-25 16:54:36 -0600"	1235602476	0	0	0	0	0	0	0	0	0	0	3	0
3cdfb81e40ef282655c3af39800bb0abe366bcdb	"2009-02-28 11:59:51 +0100"	1235818791	0	0	0	0	0	0	0	0	0	0	1	0
c46a2c30a60c89cb2d1559f896798e37eafc595f	"2009-02-28 12:02:09 +0100"	1235818929	0	1	0	0	4	0	0	5	0	0	1	0
77d084620fc318fb7fd5d599d8e31ffee61c502b	"2009-02-28 12:06:58 +0100"	1235819218	0	0	0	0	1	0	0	1	0	0	0	0
f1daf21c51b2f5954789220ff669c948c64053a6	"2009-02-28 11:54:21 -0600"	1235843661	0	0	0	0	1	0	0	6	0	0	47	0
770db4763bfceb87455aaab3a8d36904bbe5c1af	"2009-02-28 11:57:37 -0600"	1235843857	0	0	0	0	0	0	0	0	0	0	0	0
bb804435aa035f2ec0bbcb5709a65c00d55c9739	"2009-02-28 22:30:06 +0100"	1235856606	0	0	0	0	0	0	0	0	0	0	0	0
