commit_hash	fecha_iso	fecha_timestamp	acceptance_tests_modificados	unit_tests_modificados	codigo_modificados	otro_modificados
56f7b44b8535221f093c5777b22dbca46c661415	"2011-08-28 09:31:34 -0500"	1314541894	0	1	1	3
28abfd6e16fd3cbdf2020dae9e0178dbdcf48aa3	"2011-09-05 13:04:03 -0500"	1315245843	0	1	3	3
706908769604ac8ce9ffbc131a7edfcbfd2dee8f	"2011-10-26 17:52:39 -0400"	1319665959	0	0	0	0
307f86e2b504a833ce08c17e75fffd8149b7dcef	"2011-11-08 12:36:05 -0700"	1320780965	0	1	0	0
4a00dc6418dd919d736f9d6523cfcd87c15a67a7	"2011-11-14 15:30:26 -0700"	1321309826	0	2	3	0
1093ac35626d2f16a9515181dc26859222a36e46	"2011-11-16 15:42:45 -0700"	1321483365	0	0	3	0
77a4f644ebc54b0b36ebc398bb3942cda98d355c	"2011-11-20 18:41:16 -0700"	1321839676	0	11	19	0
86519180e1e8642bce3e7c5f796854b28edb50aa	"2011-11-24 13:38:31 -0700"	1322167111	1	3	21	0
7ddbb7c391bbb64f336f4b44043d1ce3e8c619ef	"2011-11-24 17:40:12 -0700"	1322181612	0	1	2	0
e327a0c40bd3ebb8541786e93d28f99d18351fac	"2011-11-28 11:46:01 -0600"	1322502361	0	0	2	3
3e86e6fc2539022597f8a3358e5856ef1a320933	"2011-11-28 12:00:35 -0600"	1322503235	0	0	1	0
5a1cdd8ea9d55400afb436eee6f7a3c3bb13d900	"2011-11-28 14:21:58 -0600"	1322511718	0	0	3	0
2a12d36cf7ec5c527e27e0cefa9efef156a716e4	"2011-11-28 14:44:08 -0600"	1322513048	0	0	1	0
17b93410e1869e0a53c12c31a34833a8f67bf010	"2011-11-28 14:54:19 -0600"	1322513659	0	0	1	0
03cf7c0bff530e06b15ffa3fdd4889a3ebf1d41f	"2011-11-28 15:47:48 -0600"	1322516868	0	0	1	1
4d94ac9a52b29ba1e402cfd8448dbc27a247f749	"2011-11-28 15:58:58 -0600"	1322517538	0	0	1	0
605785b00f506b3605e07d154358d08c6f6e7f3a	"2011-11-28 16:31:48 -0600"	1322519508	0	0	2	0
fb07bf24ec77e68cd6b060ab1ec5d4b03f14a7cf	"2011-11-28 17:28:17 -0600"	1322522897	0	0	1	0
2d8ff80f6b328694e04e2763f63fcbcf291a2f9a	"2011-11-29 09:03:11 -0600"	1322578991	0	0	3	0
cafbe177b84eec0024ac2919f1cf5dc8fa51ef7e	"2011-11-29 09:12:47 -0600"	1322579567	0	0	3	3
e76628c6a065147f34abb23902d91d54844273ce	"2011-11-29 11:00:01 -0600"	1322586001	0	0	1	0
d2d255d0fffa9c0a13fcdc85c693ef8fbf5fc5b8	"2011-11-29 11:32:12 -0600"	1322587932	0	0	1	0
80ce8c54a67088f9d2e76450f67025a56632d970	"2011-11-29 12:24:41 -0600"	1322591081	0	0	1	0
50500bd0248f2360db21a03272f0b2445b4ff0c5	"2011-11-29 13:01:50 -0600"	1322593310	0	0	1	0
9b51f46ed54e4b614434f9f7564be3fc63357a1e	"2011-11-29 13:36:17 -0600"	1322595377	0	0	1	0
