acceptance_tests_modificados	unit_tests_modificados	codigo_modificados	otro_modificados	tag
35	27	61	815	"20090214"
22	352	425	239	"20090321"
35	82	209	263	"20090513"
103	163	400	335	"20090818"
10	48	110	124	"20091121"
13	47	108	138	"20100103"
13	32	69	108	"20100303"
7	94	169	183	"20101101"
17	319	728	33	"20110104"
16	66	146	126	"20111025"
128	405	1324	800	"20121220"
47	380	824	270	"20130530"
